<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
IMOEX;0;20180518;100227;2323.650000000;2252379
IMOEX;0;20180518;100228;2323.770000000;2159620
IMOEX;0;20180518;100229;2323.970000000;1304079
IMOEX;0;20180518;100230;2324.050000000;1538398
IMOEX;0;20180518;100231;2324.070000000;758657
IMOEX;0;20180518;100232;2324.030000000;4241309
IMOEX;0;20180518;100233;2324.390000000;2135424
IMOEX;0;20180518;100234;2324.370000000;1804853
IMOEX;0;20180518;100235;2324.440000000;224501
IMOEX;0;20180518;100236;2324.390000000;988295
IMOEX;0;20180518;100237;2324.390000000;6015116
IMOEX;0;20180518;100238;2324.800000000;4686736
IMOEX;0;20180518;100239;2323.850000000;6914237
IMOEX;0;20180518;100240;2323.400000000;2415972
IMOEX;0;20180518;100241;2323.580000000;2045418
IMOEX;0;20180518;100242;2323.630000000;993493
IMOEX;0;20180518;100243;2323.740000000;176460
IMOEX;0;20180518;100244;2323.670000000;1883433
IMOEX;0;20180518;100245;2323.640000000;1088254
IMOEX;0;20180518;100246;2323.610000000;2167591
IMOEX;0;20180518;100247;2323.610000000;223991
IMOEX;0;20180518;100248;2323.590000000;299459
IMOEX;0;20180518;100249;2323.600000000;280775
IMOEX;0;20180518;100250;2323.680000000;949174
IMOEX;0;20180518;100251;2323.620000000;901458
IMOEX;0;20180518;100252;2323.670000000;928420
IMOEX;0;20180518;100253;2323.790000000;331177
IMOEX;0;20180518;100254;2323.860000000;834037
IMOEX;0;20180518;100255;2323.890000000;739631
IMOEX;0;20180518;100256;2323.870000000;759654
IMOEX;0;20180518;100257;2323.950000000;999637
IMOEX;0;20180518;100258;2323.970000000;1374399
IMOEX;0;20180518;100259;2323.910000000;1832507
IMOEX;0;20180518;100300;2323.940000000;941072
IMOEX;0;20180518;100301;2324.180000000;1955587
IMOEX;0;20180518;100302;2324.370000000;2855087
IMOEX;0;20180518;100303;2324.360000000;4837365
IMOEX;0;20180518;100304;2323.420000000;8647241
IMOEX;0;20180518;100305;2323.360000000;1998198
IMOEX;0;20180518;100306;2323.490000000;449983
IMOEX;0;20180518;100307;2323.710000000;726442
IMOEX;0;20180518;100308;2323.610000000;22614
IMOEX;0;20180518;100309;2323.610000000;11848
IMOEX;0;20180518;100310;2323.730000000;1475939
IMOEX;0;20180518;100311;2323.940000000;1841705
IMOEX;0;20180518;100312;2323.900000000;786619
IMOEX;0;20180518;100313;2323.940000000;574807
IMOEX;0;20180518;100314;2324.080000000;735988
IMOEX;0;20180518;100315;2324.080000000;36246
IMOEX;0;20180518;100316;2324.100000000;178081
IMOEX;0;20180518;100317;2324.310000000;2942452
IMOEX;0;20180518;100318;2324.280000000;834538
IMOEX;0;20180518;100319;2324.170000000;291489
IMOEX;0;20180518;100320;2324.150000000;748216
IMOEX;0;20180518;100321;2324.090000000;2298447
IMOEX;0;20180518;100322;2324.080000000;153880
IMOEX;0;20180518;100323;2324.140000000;1707943
IMOEX;0;20180518;100324;2324.170000000;623874
IMOEX;0;20180518;100325;2323.940000000;1362342
IMOEX;0;20180518;100326;2324.050000000;458024
IMOEX;0;20180518;100327;2324.000000000;3740675
IMOEX;0;20180518;100328;2323.950000000;70479
IMOEX;0;20180518;100329;2324.000000000;1011562
IMOEX;0;20180518;100330;2324.080000000;747424
IMOEX;0;20180518;100331;2324.060000000;111053
IMOEX;0;20180518;100332;2323.980000000;6301092
IMOEX;0;20180518;100333;2323.920000000;1345072
IMOEX;0;20180518;100334;2323.910000000;1917637
IMOEX;0;20180518;100335;2323.880000000;3565191
IMOEX;0;20180518;100336;2324.010000000;1832162
IMOEX;0;20180518;100337;2324.140000000;2811390
IMOEX;0;20180518;100338;2323.950000000;3494648
IMOEX;0;20180518;100339;2324.220000000;1648210
IMOEX;0;20180518;100340;2324.110000000;2221747
IMOEX;0;20180518;100341;2324.090000000;4758258
IMOEX;0;20180518;100342;2324.130000000;3153892
IMOEX;0;20180518;100343;2324.160000000;577232
IMOEX;0;20180518;100344;2323.990000000;858188
IMOEX;0;20180518;100345;2324.160000000;237335
IMOEX;0;20180518;100346;2324.080000000;530568
IMOEX;0;20180518;100347;2324.130000000;1056255
IMOEX;0;20180518;100348;2324.060000000;1121513
IMOEX;0;20180518;100349;2324.470000000;3432124
IMOEX;0;20180518;100350;2324.550000000;3231859
IMOEX;0;20180518;100351;2324.560000000;1290721
IMOEX;0;20180518;100352;2324.610000000;2160964
IMOEX;0;20180518;100353;2324.740000000;1088241
IMOEX;0;20180518;100354;2324.770000000;2583936
IMOEX;0;20180518;100355;2324.770000000;1429654
IMOEX;0;20180518;100356;2324.800000000;529364
IMOEX;0;20180518;100357;2324.850000000;1294464
